Set_ID,Crow_Distance,Fish_Distance
2015_10_7_1,14385.5564172092,15395.989852683666
2015_10_7_2,11686.916963427007,12429.858205325076
2015_10_7_3,10995.088252332536,12120.251339244549
2015_10_7_4,11214.017503551318,12209.466795461498
2015_7_28_1,17681.6085322466,18984.219209430565
2015_7_28_2,17681.6085322466,18984.219209430565
2015_7_28_3,17523.443196758526,18862.846164987004
2015_7_28_4,17523.443196758526,18862.846164987004
2015_7_29_1,13219.47389966589,14077.30234782222
2015_7_29_2,12936.606316018819,13748.545710186288
2015_7_29_3,13748.462697772418,14518.085167548801
2015_7_29_4,13748.462697772418,14518.085167548801
2015_7_30_1,27752.646709094875,28914.704370791926
2015_7_30_2,28723.684609671887,29939.51783154151
2015_7_30_3,29021.09399435148,30316.708545655412
2015_7_30_4,30639.516985669026,31859.448414698953
2015_8_24_1,27553.45221695096,28835.47319913559
2015_8_24_2,30013.759657384664,31146.179154311925
2015_8_24_3,29439.271247323,30488.665879040826
2015_8_24_4,31062.372873581564,32244.47524931009
2015_8_25_1,17479.62664452156,18798.959611722617
2015_8_25_2,18520.83000375035,19855.829122723273
2015_8_25_3,17099.791227371596,18516.385300127262
2015_8_25_4,14732.081183990174,16036.471170859404
2015_9_22_1,17701.924430481573,19151.249448722465
2015_9_22_2,17149.947350780032,18542.499604618937
2015_9_22_3,15615.024601732748,17154.942875343764
2015_9_22_4,16281.752599549356,17919.464752353804
2015_9_8_1,13307.928778967058,14135.145916027
2015_9_8_2,13279.613020162758,14080.96330214094
2015_9_8_3,13465.726766525459,14355.537325890427
2015_9_8_4,13474.97142308091,14236.189235162015
2016_5_25_1,17265.947601230262,18510.556327987044
2016_5_25_2,15581.52340479501,16831.794144611416
2016_5_25_3,15581.52340479501,16831.794144611416
2016_5_25_4,18445.906289525676,19829.14372828593
2016_5_25_5,17907.859768105216,19403.940212054807
2016_6_10_1,31293.062187504507,32464.86665917371
2016_6_10_2,30880.04846163529,31969.901225560454
2016_6_10_3,28752.72644128441,29937.430248452303
2016_6_10_4,28752.72644128441,29937.430248452303
2016_6_10_5,28828.36561799804,29987.95190801986
2016_6_13_1,18023.82379064636,19292.16538352264
2016_6_13_2,16354.605577000115,17747.1766308669
2016_6_13_3,18395.047707502068,19829.14372828593
2016_6_13_4,14530.550809735962,15934.069926826967
2016_6_16_1,11325.705564456372,12352.320363218347
2016_6_16_2,12197.217812594981,13187.720048577412
2016_6_16_3,14358.2017075397,15171.937488501519
2016_6_16_4,14868.477644843053,15612.720308228058
2016_6_28_1,14753.86832851244,15612.720308228058
2016_6_28_2,14660.297699736268,15392.328898364438
2016_6_28_3,10921.145928832899,11606.136134076503
2016_6_28_4,14786.934308751825,15612.720308228058
2016_6_30_1,30455.380488932402,31698.98815612955
2016_6_30_2,29435.93936465217,30706.96970581445
2016_6_30_3,30517.206130482387,31698.98815612955
2016_6_30_4,30306.46637071249,31644.80554224349
2016_7_21_1,29372.89619215285,30542.84849292693
2016_7_21_2,29105.11486900263,30316.708545655412
2016_7_21_3,30801.08660060918,32021.996256357543
2016_7_21_4,27231.757300815723,28353.578211568198
2016_7_21_5,27588.78226813753,28736.517463089724
2016_7_28_1,14761.95373976836,16050.185089075358
2016_7_28_2,16000.380976805505,17433.972574579693
2016_7_28_3,16476.41986920059,17843.748902758685
2016_7_28_4,17843.82818880952,19355.48084684189
2016_7_28_5,18329.931014954007,19753.427878690938
2016_8_1_1,14625.775813560991,15616.381262547244
2016_8_1_2,12054.232071959459,12708.093183393325
2016_8_1_3,13685.318097555679,14518.085167548801
2016_8_1_4,13732.093026749195,14460.241599343746
2016_8_10_1,14645.115221096326,16011.6703983076
2016_8_10_2,17179.36670320587,18688.67342161446
2016_8_10_3,17200.634800002343,18574.442881251573
2016_8_10_4,17512.901222396118,18728.50164432256
2016_8_10_5,18300.94390661157,19728.056016194547
2016_8_23_1,11200.647321658013,11981.058725806806
2016_8_23_2,14658.08579801942,15724.746490319365
2016_8_23_3,14751.954010692896,15612.720308228058
2016_8_23_4,13461.132329347833,14348.21541725303
2016_9_12_1,30764.874734839545,32021.996256357543
2016_9_12_2,27817.796489454584,29011.091486839403
2016_9_12_3,30970.680263448132,32401.274553560652
